id,title,ISBN13,pages,authors,publisher,date
2250,"The Investigative Reporter's Handbook: A Guide to Documents, Databases, and Techniques",9780312442651,608,Brant Houston,Bedford/St. Martin's,November 7th 2008
2251,Database Design,752063317587,528,"Ryan K. Stephens,Ronald R. Plew",Sams,November 30th 2000
2252,The Essence of Databases,9780137278275,240,Fred Rolland,Prentice Hall PTR,November 10th 1997
2252,Database Security,9781435453906,320,"Alfred Basta,Melissa Zgola",Cengage Learning,July 12th 2011
2254,Database 101,9780938151524,154,Guy Kawasaki,Peachpit Press,August 1st 1991
2255,Oracle Essentials: Oracle Database 11g,9780596514549,408,"Rick Greenwald,Jonathan Stern,Robert Stackowiak",O'Reilly Media,November 8th 2007
2256,Beginning Database Design: From Novice to Professional,9781590597699,240,Clare Churcher,Apress,February 1st 2007
2257,Android Database Programming,9781849518123,212,Jason Wei,Packt Publishing,May 18th 2012
2258,"Principles of Database & Knowledge-Base Systems, Vol. 1: Classical Database Systems",9780716781585,631,Jeffrey D. Ullman,Computer Science Press,January 1st 1990
2259,Applied Mathematics for Database Professionals,9781590597453,376,"Lex de Haan,Toon Koppelaars",Apress,June 1st 2007
2260,Intelligent Database Systems,9780201877366,452,"Elisa Bertino,Barbara Catania",Addison-Wesley Professional,February 8th 2001
2261,Dragon Ball Super 47 Sub Español Online gratis,,,database,,
2262,Oracle Database 10g PL/SQL Programming,9780072230666,862,"Scott Urman,Michael McLaughlin,Ron Hardman,Ron Hartman",McGraw-Hill/Osborne Media,September 1st 2004
2263,Beginning Database Design Solutions,9780470385494,510,Rod Stephens,Wiley Publishing,November 1st 2008
2264,Readings in Database Systems,9781558605237,685,"Joseph M. Hellerstein,Michael Stonebraker",Morgan Kaufmann Publishers,January 1st 1998
2265,"Expert Oracle Database Architecture: Oracle Database 9i, 10g, and 11g Programming Techniques and Solutions",9781430229469,780,Thomas Kyte,Apress,July 1st 2010
2266,Oracle Database 10g SQL,9780072229813,576,"Jason Price,Lisa McClain",McGraw-Hill/Osborne Media,March 12th 2004
2267,Database Nation: The Death of Privacy in the 21st Century,9780596001056,338,Simson Garfinkel,O'Reilly Media,December 11th 2000
2268,Next Generation Databases: NoSQLand Big Data,,262,Guy Harrison,Apress,December 14th 2015
2269,"Database Tuning: Principles, Experiments, and Troubleshooting Techniques",9781558607538,440,"Dennis E. Shasha,Jim Gray",Morgan Kaufmann Publishers,June 12th 2002
2270,Amazon Redshift Database Developer Guide,,803,Amazon Web Services,,July 25th 2013
2271,Principles Of Database Design,9780137088768,496,S. Yao,Prentice Hall,January 1st 1985
2272,MySQL: Mettersi in tasca il database in open source,9788850324859,239,Saverio Rubini,Apogeo,January 1st 2006
2273,The Database Book Principles & Practice: Using the Oracle Database,9780929306445,390,Narain Gehani,Silicon Press,January 1st 2011
2274,Logical Database Design Princi,9780849318535,180,"John Garmany,Jeff Walker,Terry Clark",Auerbach Publications,April 1st 2005
2275,Contact Management Database Documentation,,708,Khushwant   Singh,,April 17th 2013
2276,Database: Theory and Practice,9780201180411,374,"Frank Lars,Frank Lars",Addison Wesley Publishing Company,May 13th 2000
2277,Objects And Databases,9780077077907,244,Petr Kroha,McGraw-Hill Companies,February 1st 1994
2278,Relational Databases,9780080340944,470,D.A. Bell,Pergamon,January 1st 1986
2279,Expert One-On-One Visual Basic 2005 Database Programming,9780764576782,585,Roger Jennings,Wrox Press,December 1st 2005
2280,Creating Database Web Applications with PHP and ASP,9781584502647,411,Jeanine Meyer,Charles River Media,June 30th 2003
2281,"Object-Oriented Concepts, Databases and Applications",9780201144109,602,Won Kim,Association for Computing Machinery (ACM),July 1st 2000
2282,From Data to Database 2e,9780412432606,368,David S. Bowers,Chapman & Hall,January 1st 1993
2283,Database Systems: A Pragmatic Approach,9781484208786,556,"Elvis Foster,Shripad Godbole",Apress,December 17th 2014
2284,Multidimensional Databases and Data Warehousing,9781608455386,111,Christian  Jensen,Morgan & Claypool,May 5th 2010
2285,Android Database Programming,9786613683670,212,Wei Jason,Packt Publishing,June 1st 2012
2286,Database-Driven Web Sites,9780789017390,133,Kristin Antelman,CRC Press,October 8th 2002
2287,Database Application Programming with Linux,9780471355496,528,Brian Jepson,Wiley,July 31st 2000
2288,ระบบฐานข้อมูล Database Systems,,,จำลอง ครูอุตสาหะ,,
2289,Introduction to Database Management Systems,9781299446595,535,Atul Kahate,Pearson,January 1st 2006
2290,Your First Access Database,9780782115406,300,Miriam Liskin,Sybex,
2291,Relational Databases (Computer Studies),9780748711765,328,Barry M. Eaglestone,Trans-Atlantic Publications,March 1st 1991
2292,Database Principles For Personal Computers,9780131972940,243,Richard F. Walters,Prentice Hall,
2293,Bioinformatics: Databases and Systems,9780792385738,304,Stanley Letovsky,Springer,August 31st 1999
2294,Inside the Database Object Model,9780849318078,240,Donald K. Burleson,CRC Press,June 25th 1998
2295,Oracle Database and Powershell How to,9781849688581,68,Geoffrey Hudik,Packt,January 1st 2013
2296,Object-Oriented Database Programming,9781461281375,320,Suad Alagic,Springer,September 16th 2011
2297,Database Management Systems In Engineering,9781568063638,54,"Katherine C. Morris,Mary Mitchell,Elizabeth Fong",Diane Pub Co,August 1st 1992
2298,The Business of Database Marketing,9781933199054,249,Richard N. Tooker,Racom Communications,October 1st 2008
2299,Fuzzy Databases: Principles and Applications,9781461285663,226,Frederick E. Petry,Springer,September 28th 2011
2300,Fundamentals of Database Indexing and Searching,9781466582545,280,Arnab Bhattacharya,CRC Press,December 2nd 2014
2301,Relational Database Systems,9781456611743,447,Jitendra Patel,Ebookit.com,December 1st 2012
2302,The Teradata Database:  Introduction And Sql,9780966549331,464,Brian Marshall,Education In Parallel,March 1st 2000
2303,Our Lives As Database,9788024601205,302,Zdenek Konopasek,"Karolinum Press, Charles University",February 1st 2001
2304,An Analysis on Spatial Database,9781475198317,82,Ujjwal Kumar Gupta,Createspace Independent Publishing Platform,March 7th 2012
2305,Knowledge Discovery in Inductive Databases,9783540755487,300,"Jan Struyf,Saso Dzeroski",Springer,November 7th 2007
2306,Database Design And Implementation,9780132000154,,Leszek A. Maciaszek,Prentice Hall,January 1st 1990
2307,XML Databases and the Semantic Web,9780849310317,336,Bhavani Thuraisingham,CRC Press,March 27th 2002
2308,Relational Database Principles,9780826454225,256,Colin Ritchie,Continuum,
2309,Instant Access Databases [With CDROM],9780072130768,759,Greg Buczek,McGraw-Hill Companies,December 29th 2000
2310,"Database: Models, Languages, Design",9780195107838,944,James L. Johnson,"Oxford University Press, USA",March 13th 1997
2311,Introduction to Constraint Databases,9780387987293,394,Peter Revesz,Springer,January 8th 2002
2312,Advanced Database Systems,9780387575070,451,"Nabil R. Adam,Bharat K. Bhargava",Springer,December 1st 1993
2313,Oracle Databases on the Web,9781576100998,572,"Robert Papaj,Donald K. Burleson",Coriolis Group Books,February 20th 1997
2314,Logical Introduction to Databases,9780155511750,480,John  Grant,"Oxford University Press, USA",June 8th 1995
2315,Multidimensional Databases and Data Warehousing,9781608455379,112,"Christian S. Jensen,Torben Bach Pedersen,Christian Thomsen,M. Tamer Ozsu",Morgan & Claypool,September 13th 2010
2316,Database Systems for Management,9780256082296,561,"James F. Courtney,David B. Paradice",Irwin Professional Publishing,January 1st 1992
2317,Database Management Systems,9781282803442,,Vijay Krishna Pallaw,Asian Books,August 30th 2011
2318,Querying graph databases.,9780549994299,151,Yuanyuan Tian,ProQuest LLC,
2319,Object-Oriented Databases: An Introduction,9780134918044,318,"Dimitris N. Chorafas,Heinrich Steinmann",Prentice Hall,February 1st 1993
2320,Knowledge Discovery in Multiple Databases,9781447110507,233,"Shichao Zhang,Chengqi Zhang,Xindong Wu",Springer,October 4th 2012
2321,CRM Database Management: A Guide,9780749472566,208,Richard Boulton,Kogan Page,July 28th 2014
2322,Modern Database Management Casebook,9780130611918,96,"Weyman Whitlock,Jeffrey A. Hoffer",Not Avail,July 22nd 2002
2323,The Essential Guide To Database Marketing,9780077071578,,John M.  Davies,McGraw-Hill Companies,
2324,Issues in Online Database Searching,9780872877092,188,Carol Tenopir,Libraries Unlimited Inc,September 28th 1989
2325,Database Questions and Answers,,183,Suresh Basandra,Basandra Books,December 3rd 2011
2326,Advanced Database Indexing,9781461346418,286,"Yannis Manolopoulos,Yannis Theodoridis,Vassilis J Tsotras",Springer,September 5th 2012
2327,Logics for Databases and Information Systems,9780792381297,430,Jan Chomicki,Springer,March 31st 1998
2328,Temporal Databases: Research and Practice,9783540645191,437,Opher Etzion,Springer,May 13th 1998
2329,Relational Database Technology,9780387962764,,Suad Alagic,Springer,June 24th 1986
2330,Readings in Database Systems,9780934613651,644,Michael Stonebraker,Morgan Kaufmann Publishers,January 1st 1988
2331,Database Sql Rdbms Howto: Postgresql Object Relational Database System,9780595136759,,Al Dev,iUniverse,
2332,Documenting Oracle Databases: Complete Oracle Database Schema Auditing,9780974071664,,Michael R. Ault,Rampant Techpress,August 15th 2003
2333,Plant Names In Botanical Databases (Plant taxonomic database standards),9780913196625,30,F.A. Bisby,Hunt Inst for Botanical,September 1st 2004
2334,"Database Directions: From Relational To Distributed, Multimedia, And Object Oriented Database Systems",9780132908672,261,James Larson,Prentice Hall,
2335,Oracle 10g Database Administrator II: Backup/Recovery and Network Administration,9781418836641,648,Claire Rajan,Course Technology,May 11th 2006
2336,"Chemical Databases, including: Chemical Database, Chemical Abstracts Service, Beilstein Database, Pubchem, Drugbank, Inorganic Crystal Structure Database (icsd), Chebi, Ki Database, Zinc Database, Loli Database, Dortmund Data Bank, Emolecules, Phosida",9781242971877,56,Hephaestus Books,Hephaestus Books,August 29th 2011
2337,Database Design and Development: A Visual Approach,9780130351227,508,"Raymond Frost,John Day,Craig Van Slyke",Prentice Hall,October 1st 2005
2338,Macromedia Dreamweaver MX 2004 and Databases,9780735713703,456,Sean R. Nicholson,New Riders Publishing,October 11th 2003
2339,Advanced Database Projects In Access 2007,9781444117370,,"Ian Rendell,Julian Mott",,
2340,"Bioinformatics: Experiments, Tools, Databases, and Algorithms",9780195676839,528,Orpita Bosu,"Oxford University Press, USA",September 6th 2007
2341,Online Bibliographic Databases: A Directory And Sourcebook,9780851421674,,"James L. Hall,Marjorie J. Brown",,
2342,Contemporary Database Marketing: Concepts and Applications,9780970451514,320,"Martin Baier,Kurtis M. Ruf,Goutam Chakraborty,K. M. Ruf,G. Chakraborty,Kurtis Ruf,Thomas Stonebeck,Anne M. Tyler",Racom Communication,January 1st 2002
2343,AS/400 Architecture and Application: The Database Machine,9780471581413,320,Jill T. Lawrence,John Wiley & Sons,December 1st 1992
2344,Handbook of Video Databases: Design and Applications,9780849370069,1232,Borko Furht,CRC Press,September 30th 2003
2345,Targetsmart!: Database Marketing for the Small Business,9781555713843,181,"Jay Newburg,Claudio Marcus,Philip Kotler",Oasis Press,October 1st 1996
2346,Database Systems - With Code (Custom Package),9780536450371,0,Thomas M. Connolly,Pearson Custom Publishing,January 28th 2005
2347,Designing SQL Server 2000 Databases,9781928994190,608,Inc Syngress Media,Syngress Publishing,March 8th 2001
2348,Fundamentals of Relational Database Management Systems,9783642080128,776,"S. Sumathi,S. Esakkirajan",Springer,November 11th 2010
2349,The Legal Protection Of Databases: A Comparative Analysis,9781847201331,362,Estelle Derclaye,Edward Elgar Publishing,January 1st 2008
2350,Foundation for Object / Relational Databases: The Third Manifesto,9780201309782,528,"C.J. Date,Hugh Darwen",Addison-Wesley Professional,June 15th 1998
2351,Teach Yourself Database Programming With Delphi In 21 Days,9780672308512,,"Nathan Gurewich,Ori Gurewich",Sams,September 1st 1995
2352,"Distributed Databases, Cooperative Processing, and Networking",9780071576734,256,Shaku Atre,McGraw-Hill Companies,June 1st 1992
2353,Oracle Database 11g & MySQL 5.6 Developer Handbook,9780071768856,578,Michael McLaughlin,McGraw-Hill/Osborne Media,October 21st 2011
2354,SQL Server 7.0 Database Implementation Training Kit,9781572318267,800,Microsoft Corporation,Microsoft Press,January 1st 1999
2355,Pocket PC Database Development with Embedded Visual Basic,9781893115651,265,Rob Tiffany,Apress,August 1st 2001
2356,"Database Systems: A Practical Approach to Design, Implementation, and Management",9780321181053,0,"Carolyn Begg,Thomas Connolly",Addison Wesley Publishing Company,December 4th 2002
2357,Databasing the Brain: From Data to Knowledge (Neuroinformatics),9780471309215,480,Stephen H. Koslow,Wiley,February 1st 2005
2358,Database Explorations: Essays on the Third Manifesto and Related Topics,9781426937231,548,"C.J. Date,Hugh Darwen",Trafford Publishing,July 10th 2010
2359,Beginning VB 2008 Databases: From Novice to Professional,9781590599471,409,"Vidya Vrat Agarwal,James Huddleston",Apress,April 17th 2008
2360,The Ingres Papers: Anatomy of a Relational Database System,9780201071856,506,Michael Stonebraker,Addison Wesley Publishing Company,January 1st 1986
2361,Database Backed Web Sites: The Thinking Person's Guide to Web Publishing,9781562765309,362,Philip Greenspun,Ziff-Davis Press,January 1st 1997
2362,Beginning MySQL Database Design and Optimization: From Novice to Professional,9781590593325,500,Jon Stephens,Apress,October 28th 2004
2363,"Concurrent Systems: Operating Systems, Database And Distributed Systems  An Integrated Approach",9780201177671,,J. Bacon,Addison Wesley Longman,January 1st 1997
2364,"Pro Oracle Database 10g RAC on Linux: Installation, Administration, and Performance",9781590595244,795,"Julian Dyke,Steve Shaw",Apress,July 1st 2006
2365,SQL: Learn SQL DataBase Programming in 24 hours Or Less!,,90,"AZ Elite Publishing,David Lars,SQL","SQL, sql server,  server, server 2012, Programming, developers, Mobile, coding",October 14th 2014
2366,Pro SQL Server 2012 Relational Database Design and Implementation,9781430236955,784,"Louis Davidson,Jessica Moss",Apress,July 24th 2012
2367,OCP Oracle Database 11g Administration II Exam Guide: Exam 1Z0-053 (Oracle Press),9780071597098,752,Bob Bryla,McGraw-Hill Osborne,February 1st 2009
2368,"The Relational Database Dictionary: A Comprehensive Glossary of Relational Terms and Concepts, with Illustrative Examples",9780596527983,128,C.J. Date,O'Reilly Media,September 4th 2006
2369,Creating a Self-Tuning Oracle Database: Automating Oracle9i Dynamic SGA Performance,9780972751322,160,Donald K. Burleson,Rampant Techpress,August 1st 2003
2370,Sams Teach Yourself Beginning Databases in 24 Hours,9780672324925,480,"Ryan K. Stephens,Ronald R. Plew",Sams Publishing,May 15th 2003
2371,Principles of Database Query Processing for Advanced Applications,9781558604346,512,Clement T. Yu,Morgan Kaufmann Publishers,December 15th 1997
2372,Local Transcendence: Essays on Postmodern Historicism and the Database,9780226486963,361,Alan Liu,University Of Chicago Press,November 28th 2008
2373,Gale Directory of Databases: Online Databases,9780787632854,2100,Gale Cengage Learning,Gale Cengage,January 15th 2001
2374,The Database Experts' Guide to Database 2,9780070232679,442,B. Larson,Intertext Publications,
2375,Quantification in Databases (Advances in Database Systems),9780387095639,138,Antonio Badia,Springer-Verlag New York Inc.,April 17th 2009
